Kürzel;Beschreibung;wird gesetzt von:
RZE;Rücknahmebescheid des ZuwBescheides erstellt;AB/FB
RZJ;Rücknahmebescheid juristische QS erfolgt;Juristen
RZQ;Rücknahmebescheid QS ist erfolgt;QS
RZG;Rücknahmebescheid ans BMWK;PA
RZG+;Rückfragen/Hinweise vom BMWK;PA
RZZ;Rücknahmebescheid an ZE;PA
ABE;Eingang Empfangsbestätigung;neutral
AFUE;FKZ zum zugehörigen FuE;PA
ADL1;FKZ vom ersten DL-Antrag;PA
ADL2;FKZ vom ersten DL-Folgeantrag;PA
ADL3;FKZ vom zweiten DL-Folgeantrag;PA
XIZ;Irrläufer an richtigen PT;PA
TG;voraussichtlicher Termin DL-GA;AB/FB
DME;Bescheinigung erstellt;neutral
DMB;Bescheinigung an ZE versandt;AB
DMDB;Eintrag in de-minimis-DB ist erfolgt;PA
DMVN;bitte de-minimis-Wert in de-minimis-DB aktualisieren;AB/QS
DMDB2;Aktualisierung in de-minimis-DB ist erfolgt;PA
SA;Antrag auf Entsperrung von ....;neutral
SFB;fachliche Prüfung erforderlich;FB
SN;Nachforderung/Rückfragen zur Entsperrung;AB/FB
SL;Eingang Nachlieferung zur Entsperrung;neutral
ST;techn. Bearbeitung Entsperrung erledigt;FB
SK;kaufm. Bearbeitung Entsperrung erledigt;AB
SZ;Mitteilung an ZE über Entsperrung von ...;AB/FB
SZX;Mitteilung Sperre wird nicht aufgehoben an ZE;AB/FB
ÄA;Eingang Änderungsantrag über ...;neutral
ÄN;Nachforderung/Rückfragen zum Änderungsantrag;AB/FB
ÄL;Nachlieferung zum Änderungsantrag;neutral
ÄT;Änderung techn. bearbeitet;FB
ÄK;Änderung kaufm. bearbeitet;AB
ÄQ;Änderung bewilligt;QS
ÄAB;Aufstockung vom Haushaltsbeauftragten bewilligt;QS
ÄZ;Änderungsbescheid an ZE;PA
ÄZX;Bewilligung ohne Bescheid;QS/PA
ÄAZ;Ablehnung/Rücknahme des Änderungsantrags an ZE;PA
LA;Antrag auf Laufzeitänderung;neutral
LN;Nachforderung/Rückfragen zur Laufzeitänderung;AB/FB
LL;Nachlieferung zur Laufzeitänderung;neutral
LT;Laufzeitänderung techn. bearbeitet;FB
LK;Laufzeitänderung kaufm. bearbeitet;AB
LQ;Laufzeitänderung bewilligt;QS
LZ;Änderungsbescheid Laufzeit an ZE;PA
LZX;Bewilligung ohne Bescheid;QS/PA
LAZ;Ablehnung/Rücknahme der Laufzeitänderung an ZE;PA
MVA;Antrag auf Mittelverschiebung;neutral
MVN;Nachforderungen/Rückfragen zur Mittelverschiebung;AB/FB
MVL;Nachlieferung zur Mittelverschiebung;neutral
MVT;Mittelverschiebung techn. bearbeitet;FB
MVK;Mittelverschiebung kaufm. bearbeitet;AB
MVQ;Mittelverschiebung bewilligt;QS
MVZ;Mittelverschiebung an ZE;PA
MVX;Mittelverschiebung ist nicht erforderlich/ohne Bescheid;QS/PA
MVAZ;Ablehnung/Rücknahme der Mittelverschiebung an ZE;PA
ÄW;Widerspruch Änderungsbescheid;neutral
ÄAW;Widerspruch gegen die Ablehnung eines Änderungsantrages;neutral
ÄAWR;Widerspruch Änderung zurückgezogen;neutral
ÄAWE;Widerspruchsbescheid erstellt;AB/FB
ÄAWJ;Widerspruchsbescheid juristische QS erfolgt;Juristen
ÄAWQ;Widerspruchsbescheid QS durch PL erfolgt (ÄK/LK/MVK);QS
ÄAWA;negativer Widerspruchsbescheid;PA
ÄAWZ;positiver Widerspruchsbescheid;PA
ÄAWD;Frist Klage Widerspruchsbescheid;PA
ZA1;Termin 1. ZA;AB/QS
GA;Eingang Zahlungsanforderung;neutral
GN;Nachforderung/Rückfragen zur ZA;AB/FB
GL;Nachlieferung zur ZA;neutral
GKS;kaufm. Signierung ZA erfolgt;AB
GTS;techn. Signierung ZA erfolgt;FB
GZ;Auszahlung erfolgt;QS
